SITE,UNIT,DATA_DATE,LANGUAGE,WORKER___1,WORKER___2,WORKER___3,PROVIDER_HANDS_BEF,PROVIDER_HANDS_AFT,NURSE_HANDS_BEF,NURSE_HANDS_AFT,MT_HANDS_BEF,MT_HANDS_AFT
MSW,Ansonia Internal Medicine,5/19/2022,1,1,1,0,1,1,1,1,,
MSW,Ansonia Internal Medicine,5/23/2022,1,1,0,1,1,1,,,1,1
MSW,Ansonia Internal Medicine,6/2/2022,1,1,0,1,1,1,,,1,1
MSW,Ansonia Internal Medicine,6/3/2022,1,1,0,1,1,1,,,1,1
MSW,Ansonia Internal Medicine,6/8/2022,1,1,0,1,1,1,,,1,1
MSW,Ansonia Internal Medicine,5/24/2022,1,1,1,1,1,1,1,1,1,1
MSW,Ansonia Internal Medicine,5/24/2022,1,1,1,1,1,1,1,1,1,1
MSW,Ansonia Internal Medicine,5/25/2022,1,1,1,1,1,1,1,1,1,1
MSW,Ansonia Internal Medicine,5/25/2022,1,1,0,1,1,1,,,1,1
MSW,Ansonia Internal Medicine,5/24/2022,1,1,0,1,1,1,,,1,1
MSW,Ansonia Internal Medicine,5/24/2022,1,1,1,1,1,1,1,1,1,1
MSW,Ansonia Internal Medicine,5/25/2022,1,1,1,0,1,1,1,1,,
MSW,Ansonia Internal Medicine,5/24/2022,1,1,0,1,1,1,,,1,1
MSW,Ansonia Internal Medicine,5/24/2022,1,0,0,1,,,,,1,1
MSW,Ansonia Internal Medicine,5/24/2022,1,1,0,1,1,1,,,1,1
MSW,Ansonia Internal Medicine,5/25/2022,1,1,1,0,1,1,1,1,,
MSW,Ansonia Internal Medicine,5/25/2022,1,1,1,1,1,1,1,1,1,1
MSW,Ansonia Internal Medicine,5/24/2022,1,1,1,1,1,1,1,1,1,1
MSW,Ansonia Internal Medicine,5/24/2022,1,1,1,1,1,1,1,1,1,1
MSW,Ansonia Internal Medicine,5/19/2022,1,1,0,0,1,1,,,,
MSW,Ansonia Internal Medicine,5/23/2022,1,1,0,1,2,2,,,2,2
MSW,Ansonia Internal Medicine,5/20/2022,1,1,0,1,1,1,,,1,1
MSW,Ansonia Internal Medicine,5/23/2022,1,1,1,1,1,1,1,1,1,1
MSW,Ansonia Internal Medicine,5/19/2022,1,1,0,0,1,1,,,,
MSW,Ansonia Internal Medicine,5/3/2022,1,1,1,1,1,1,1,1,1,1
MSW,Ansonia Internal Medicine,5/31/2022,1,1,1,1,1,1,1,1,1,1
MSW,Ansonia Internal Medicine,5/31/2022,1,1,1,1,1,1,1,1,1,1
MSW,Ansonia Internal Medicine,6/8/2022,1,1,1,1,1,1,1,1,1,1
MSW,Ansonia Internal Medicine,5/31/2022,1,1,1,1,1,1,1,1,1,1
MSW,Ansonia Internal Medicine,5/27/2022,1,0,0,1,,,,,1,1
MSW,Ansonia Internal Medicine,6/1/2022,1,1,0,1,1,1,,,1,1
MSW,Ansonia Internal Medicine,6/1/2022,1,1,1,1,2,2,2,2,2,2
MSW,Ansonia Internal Medicine,6/1/2022,1,1,0,1,1,1,,,1,1
MSW,Ansonia Internal Medicine,6/1/2022,1,1,0,1,1,1,,,1,1
MSW,Ansonia Internal Medicine,6/1/2022,1,1,1,1,1,1,1,1,1,1
MSW,Ansonia Internal Medicine,5/23/2022,1,0,0,1,,,,,1,1
MSW,Ansonia Internal Medicine,5/25/2022,1,1,0,1,2,2,,,1,1
MSW,Ansonia Internal Medicine,5/19/2022,1,1,0,1,1,1,,,1,1
MSW,Ansonia Internal Medicine,5/27/2022,1,1,0,1,1,1,,,1,1
MSW,Ansonia Internal Medicine,5/26/2022,1,1,0,0,2,1,,,,
MSW,Ansonia Internal Medicine,5/26/2022,1,1,0,1,1,1,,,1,1
MSW,Ansonia Internal Medicine,5/26/2022,1,1,1,1,1,1,1,1,1,1
MSW,Ansonia Internal Medicine,5/25/2022,1,1,0,0,2,1,,,,
MSW,Ansonia Internal Medicine,5/25/2022,1,1,0,1,2,1,,,1,1
MSW,Ansonia Internal Medicine,5/31/2022,1,1,0,1,2,1,,,1,1
MSW,Ansonia Internal Medicine,5/26/2022,1,1,0,1,2,1,,,1,1
MSW,Ansonia Internal Medicine,5/26/2022,1,1,0,1,2,1,,,1,1
MSW,Ansonia Internal Medicine,5/27/2022,1,1,1,1,2,1,1,2,1,1
MSW,Ansonia Internal Medicine,5/26/2022,1,1,0,1,2,1,,,1,1
MSW,Ansonia Internal Medicine,5/26/2022,1,1,0,1,2,1,,,1,1
MSW,Ansonia Internal Medicine,5/31/2022,1,1,0,1,1,1,,,1,1
MSW,Ansonia Internal Medicine,5/19/2022,1,1,0,1,1,1,,,1,1
MSW,Ansonia Internal Medicine,5/20/2022,1,1,0,1,1,1,,,1,1
MSW,Ansonia Internal Medicine,6/8/2022,1,1,0,1,1,1,,,1,1
MSW,Ansonia Internal Medicine,6/8/2022,1,1,0,1,1,2,,,1,2
MSW,Ansonia Internal Medicine,6/7/2022,1,1,1,1,1,2,1,1,1,2
MSW,Ansonia Internal Medicine,6/8/2022,1,1,1,1,1,2,1,1,1,1
MSW,Ansonia Internal Medicine,6/8/2022,1,1,1,1,1,2,1,1,1,1
MSW,Ansonia Internal Medicine,6/8/2022,1,1,1,1,1,2,2,2,2,2
MSW,425 ENT,5/31/2022,1,1,0,0,1,1,,,,
MSW,425 ENT,6/2/2022,1,1,0,0,1,2,,,,
MSW,425 ENT,6/2/2022,1,1,0,1,1,1,,,1,2
MSW,425 ENT,6/3/2022,1,1,0,0,1,1,,,,
MSW,425 ENT,6/2/2022,2,1,0,0,1,1,,,,
MSW,425 ENT,6/6/2022,1,1,0,0,1,1,,,,
MSW,425 ENT,6/7/2022,1,1,0,0,1,1,,,,
MSW,425 ENT,6/7/2022,1,1,0,1,1,1,,,1,1
MSW,425 ENT,6/8/2022,1,1,0,0,1,1,,,,
MSW,Samuels Clinic/IAM,6/13/2022,1,1,1,1,1,1,1,1,1,1
MSW,200 W 57th 10th & 13th FL OBGYN,6/13/2022,1,1,1,1,1,1,1,1,2,2
MSW,425 Urology,6/13/2022,1,1,0,0,1,2,,,,
MSW,60th St Specialty Practice,6/13/2022,1,1,0,1,1,1,,,1,1
MSW,60th St Specialty Practice,6/13/2022,1,1,0,0,1,1,,,,
MSW,60th St Specialty Practice,6/13/2022,1,1,0,1,1,1,,,1,1
MSW,60th St Specialty Practice,6/13/2022,1,1,0,1,1,1,,,1,1
MSW,60th St Specialty Practice,6/13/2022,1,1,0,1,2,1,,,2,1
MSW,60th St Specialty Practice,6/13/2022,1,1,0,1,1,1,,,1,1
MSW,60th St Specialty Practice,6/13/2022,1,1,0,1,1,1,,,1,1
MSW,60th St Specialty Practice,6/13/2022,1,1,0,1,1,1,,,1,1
MSW,60th St Specialty Practice,6/13/2022,1,1,0,1,1,1,,,1,1
MSW,60th St Specialty Practice,6/13/2022,1,1,0,1,1,1,,,1,1
MSW,200 W 57th 10th & 13th FL OBGYN,6/13/2022,1,1,1,1,1,2,1,2,1,2
MSW,200 W 57th 10th & 13th FL OBGYN,6/13/2022,2,1,1,1,1,1,1,1,1,1
MSW,200 W 57th 10th & 13th FL OBGYN,6/13/2022,1,1,0,1,1,1,,,1,1
MSW,200 W 57th 10th & 13th FL OBGYN,6/13/2022,1,1,1,0,1,1,1,1,,
MSW,200 W 57th 10th & 13th FL OBGYN,6/13/2022,1,1,1,1,1,1,2,2,,
MSW,200 W 57th 10th & 13th FL OBGYN,6/13/2022,1,1,1,1,0,0,0,0,0,0
MSW,200 W 57th 10th & 13th FL OBGYN,6/13/2022,1,1,1,1,1,1,1,1,1,1
MSW,200 W 57th 10th & 13th FL OBGYN,6/13/2022,2,1,1,0,1,1,1,1,,
MSW,200 W 57th 10th & 13th FL OBGYN,6/13/2022,1,1,0,1,1,1,,,1,1
MSW,200 W 57th 10th & 13th FL OBGYN,6/13/2022,1,1,0,0,1,2,,,,
MSW,200 W 57th 10th & 13th FL OBGYN,6/13/2022,1,1,0,1,2,2,,,2,2
MSW,200 W 57th 10th & 13th FL OBGYN,6/13/2022,1,1,0,1,2,2,,,2,2
MSW,200 W 57th 10th & 13th FL OBGYN,6/13/2022,1,1,1,0,0,0,0,0,,
MSW,200 W 57th 10th & 13th FL OBGYN,6/13/2022,1,1,0,0,0,2,,,,
MSW,60th St Specialty Practice,6/13/2022,1,1,0,1,1,1,,,1,1
MSW,200 W 57th 10th & 13th FL OBGYN,6/13/2022,1,1,0,1,1,1,,,1,1
MSW,60th St Specialty Practice,6/13/2022,1,1,0,1,1,1,,,1,1
MSW,200 W 57th 10th & 13th FL OBGYN,6/13/2022,1,0,0,0,,,,,,
MSW,60th St Specialty Practice,6/13/2022,2,1,0,1,1,1,,,1,1
MSW,60th St Specialty Practice,6/13/2022,1,1,0,1,1,1,,,1,1
MSW,60th St Specialty Practice,6/13/2022,1,1,0,1,1,1,,,1,1
MSW,Samuels Clinic/IAM,6/14/2022,1,1,0,0,1,1,,,,
MSW,Ansonia Internal Medicine,6/13/2022,1,1,0,1,1,1,,,1,1
MSW,Ansonia Internal Medicine,6/13/2022,1,1,0,1,1,1,,,1,1
MSW,Ansonia Internal Medicine,6/13/2022,1,1,0,1,1,1,,,1,1
MSW,Ansonia Internal Medicine,6/13/2022,1,1,0,1,1,1,,,1,1
MSW,Ansonia Internal Medicine,6/14/2022,1,1,0,1,1,1,,,1,1
MSW,Ansonia Internal Medicine,6/13/2022,1,1,0,1,1,1,,,1,1
MSW,Ansonia Internal Medicine,6/13/2022,1,1,0,1,1,1,,,1,1
MSW,Ansonia Internal Medicine,6/10/2022,1,1,0,1,1,1,,,1,1
MSW,Ansonia Internal Medicine,6/13/2022,1,1,0,1,1,1,,,1,1
MSW,Ansonia Internal Medicine,6/10/2022,1,1,0,1,2,2,,,2,2
MSW,Ansonia Internal Medicine,6/13/2022,1,1,0,1,1,1,,,1,1
MSW,Ansonia Internal Medicine,6/10/2022,1,1,0,1,1,1,,,1,1
MSW,Ansonia Internal Medicine,6/10/2022,1,1,0,1,1,1,,,1,1
MSW,Ansonia Internal Medicine,6/10/2022,1,1,0,1,1,1,,,1,1
MSW,Ansonia Internal Medicine,6/9/2022,1,1,0,1,1,1,,,1,1
MSW,Ansonia Internal Medicine,6/3/2022,1,1,0,1,1,1,,,1,1
MSW,Ansonia Internal Medicine,6/2/2022,1,1,0,1,1,1,,,1,1
MSW,Ansonia Internal Medicine,6/7/2022,1,1,0,1,1,1,,,1,1
MSW,Ansonia Internal Medicine,6/7/2022,1,0,0,1,,,,,1,1
MSW,Ansonia Internal Medicine,6/9/2022,1,1,0,1,1,1,,,1,1
MSW,Ansonia Internal Medicine,6/8/2022,1,1,1,1,1,1,1,2,1,1
MSW,Ansonia Internal Medicine,6/8/2022,1,1,0,1,1,1,,,1,1
MSW,Ansonia Internal Medicine,6/9/2022,1,1,1,1,1,1,1,1,1,1
MSW,Ansonia Internal Medicine,6/7/2022,1,1,0,0,1,1,,,,
MSW,Ansonia Internal Medicine,6/7/2022,1,1,0,0,1,2,,,,
MSW,Ansonia Internal Medicine,6/7/2022,1,1,0,1,1,2,,,1,1
MSW,Ansonia Internal Medicine,6/7/2022,1,1,0,1,1,2,,,1,1
MSW,Ansonia Internal Medicine,6/7/2022,1,1,0,1,1,2,,,1,1
MSW,425 ENT,6/13/2022,1,1,1,1,1,1,1,1,1,1
MSW,425 ENT,6/13/2022,1,1,1,1,1,1,1,1,1,1
MSW,425 ENT,6/13/2022,1,1,1,1,1,1,1,1,1,1
MSW,425 ENT,6/13/2022,1,0,0,1,,,,,1,1
MSW,425 ENT,6/13/2022,1,1,1,1,1,1,1,1,1,1
MSW,425 ENT,6/13/2022,1,1,0,1,1,1,,,1,1
MSW,425 ENT,6/13/2022,1,1,1,1,1,1,1,1,1,1
MSW,425 ENT,6/13/2022,1,1,0,1,1,1,,,1,1
MSW,425 ENT,6/13/2022,1,1,1,1,1,1,1,1,1,1
MSW,425 ENT,6/13/2022,1,1,1,1,1,1,1,1,1,1
MSW,425 ENT,6/13/2022,1,1,0,1,1,2,,,1,2
MSW,425 ENT,6/13/2022,1,1,0,1,2,2,,,2,1
MSW,425 ENT,6/13/2022,1,1,1,1,1,2,1,2,1,2
MSW,425 ENT,6/13/2022,1,1,0,0,1,1,,,,
MSW,425 ENT,6/13/2022,1,1,0,0,2,2,,,,
MSW,425 ENT,6/13/2022,1,1,1,1,1,1,1,1,1,1
MSW,425 ENT,6/13/2022,1,1,0,1,1,1,,,2,2
MSW,425 ENT,6/13/2022,1,1,1,1,1,1,1,1,1,1
MSW,425 Urology,6/13/2022,1,1,0,1,1,1,,,1,1
MSW,425 Urology,6/13/2022,1,1,0,0,1,1,,,,
MSW,425 Urology,6/13/2022,1,1,1,0,1,2,1,1,,
MSW,425 Urology,6/13/2022,1,1,1,1,1,1,1,1,1,1
MSW,425 Urology,6/13/2022,1,1,1,1,1,2,1,2,1,2
MSW,425 Urology,6/13/2022,1,1,0,1,1,1,,,1,1
MSW,425 Urology,6/13/2022,1,1,0,1,1,1,,,1,1
MSW,425 Urology,6/13/2022,1,1,1,0,1,1,1,1,,
MSW,425 Urology,6/13/2022,1,1,1,1,1,1,2,2,1,1
MSW,425 Urology,6/13/2022,1,1,1,1,1,1,1,1,1,1
MSW,425 Urology,6/13/2022,1,1,1,1,1,1,1,1,1,1
MSW,425 Urology,6/13/2022,1,1,1,1,1,1,1,1,1,1
MSW,425 Urology,6/13/2022,2,1,1,1,1,2,1,2,1,2
MSW,425 Urology,6/13/2022,1,1,1,1,1,1,1,1,1,1
MSW,425 Urology,6/13/2022,1,0,0,1,,,,,1,2
MSW,200 W 57th 10th & 13th FL OBGYN,6/14/2022,1,0,0,1,,,,,2,2
MSW,200 W 57th 10th & 13th FL OBGYN,6/14/2022,1,1,0,0,2,2,,,,
MSW,200 W 57th 10th & 13th FL OBGYN,6/14/2022,1,0,0,1,,,,,1,1
MSW,200 W 57th 10th & 13th FL OBGYN,6/14/2022,1,0,0,1,,,,,1,1
MSW,200 W 57th 10th & 13th FL OBGYN,6/14/2022,1,1,0,1,1,1,,,1,2
MSW,200 W 57th 10th & 13th FL OBGYN,6/14/2022,1,0,0,1,,,,,1,1
MSW,200 W 57th 10th & 13th FL OBGYN,6/14/2022,1,1,0,0,0,0,,,,
MSW,200 W 57th 10th & 13th FL OBGYN,6/14/2022,1,0,0,1,,,,,2,2
MSW,200 W 57th 10th & 13th FL OBGYN,6/14/2022,1,0,0,1,,,,,2,2
MSW,200 W 57th 10th & 13th FL OBGYN,6/14/2022,1,0,0,1,,,,,1,1
MSW,200 W 57th 10th & 13th FL OBGYN,6/14/2022,1,1,0,1,1,1,,,1,1
MSW,200 W 57th 10th & 13th FL OBGYN,6/14/2022,1,0,0,1,,,,,1,1
MSW,200 W 57th 10th & 13th FL OBGYN,6/14/2022,1,1,1,1,1,1,1,1,1,1
MSW,200 W 57th 10th & 13th FL OBGYN,6/14/2022,1,1,0,0,1,1,,,,
MSW,200 W 57th 10th & 13th FL OBGYN,6/14/2022,1,0,0,1,,,,,1,1
MSW,200 W 57th 10th & 13th FL OBGYN,6/14/2022,1,1,0,1,1,1,,,1,1
MSW,200 W 57th 10th & 13th FL OBGYN,6/14/2022,1,1,1,1,1,1,1,1,1,1
MSW,200 W 57th 10th & 13th FL OBGYN,6/14/2022,1,0,0,1,,,,,1,1
MSW,200 W 57th 10th & 13th FL OBGYN,6/14/2022,1,1,0,1,2,2,,,2,2
MSW,200 W 57th 10th & 13th FL OBGYN,6/14/2022,1,1,1,1,1,1,1,1,1,1
MSW,200 W 57th 10th & 13th FL OBGYN,6/14/2022,1,0,0,1,,,,,1,1
MSW,200 W 57th 10th & 13th FL OBGYN,6/14/2022,1,1,0,1,1,2,,,2,2
MSW,200 W 57th 10th & 13th FL OBGYN,6/14/2022,1,1,0,1,2,0,,,2,0
MSW,200 W 57th 10th & 13th FL OBGYN,6/14/2022,1,1,0,1,1,1,,,2,0
MSW,200 W 57th 10th & 13th FL OBGYN,6/14/2022,1,1,0,1,1,2,,,1,2
MSW,200 W 57th 10th & 13th FL OBGYN,6/14/2022,1,1,0,1,1,1,,,2,2
MSW,200 W 57th 10th & 13th FL OBGYN,6/14/2022,1,1,0,1,1,2,,,1,2
MSW,200 W 57th 10th & 13th FL OBGYN,6/14/2022,1,1,0,1,1,0,,,1,0
MSW,200 W 57th 10th & 13th FL OBGYN,6/14/2022,1,1,0,1,1,2,,,1,2
MSW,200 W 57th 10th & 13th FL OBGYN,6/14/2022,1,1,0,1,1,1,,,1,1
MSW,200 W 57th 10th & 13th FL OBGYN,6/14/2022,1,1,0,1,1,1,,,1,1
MSW,200 W 57th 10th & 13th FL OBGYN,6/14/2022,1,1,0,1,1,1,,,1,1
MSW,200 W 57th 10th & 13th FL OBGYN,6/14/2022,1,0,0,1,,,,,1,1
MSW,200 W 57th 10th & 13th FL OBGYN,6/14/2022,1,1,0,1,0,0,,,0,0
MSW,200 W 57th 10th & 13th FL OBGYN,6/14/2022,1,1,0,1,1,1,,,0,2
MSW,200 W 57th 10th & 13th FL OBGYN,6/14/2022,1,1,0,1,1,1,,,1,1
MSW,200 W 57th 10th & 13th FL OBGYN,6/14/2022,1,1,0,1,2,2,,,2,2
MSW,425 5th & 6th FL Orthopaedic Surgery and Rheumatology,6/13/2022,1,1,0,1,1,2,,,0,0
